dataset,muscle,mvc,participant,test
Violon,supra.,0.00029328323581449714,7,10
Violon,infra.,0.00029470821021172034,7,2
Violon,infra.,0.00017451890360818906,7,3
Violon,infra.,0.0002745727996919075,7,4
Violon,infra.,0.00013442128605881858,7,5
Violon,infra.,0.00021824991101140553,7,8
Violon,infra.,0.00022545514038141813,7,9
Violon,infra.,6.33743371637014e-05,7,10
Violon,subscap.,0.00026754234950950734,7,2
Violon,subscap.,0.00022435674484898795,7,3
Violon,subscap.,0.00023707074680631485,7,4
Violon,subscap.,0.00015000579850670925,7,5
Violon,subscap.,0.00032299740516928224,7,8
Violon,subscap.,0.00010908531536102799,7,9
Violon,subscap.,0.000675062541678929,7,10
Violon,low. trap.,2.3661883685779963e-05,8,2
Violon,low. trap.,3.339779874880189e-05,8,3
Violon,low. trap.,3.073294074656448e-05,8,4
Violon,low. trap.,4.832533440725444e-05,8,5
Violon,low. trap.,3.931661458341506e-05,8,8
Violon,low. trap.,3.2729586606406344e-05,8,9
Violon,low. trap.,3.322217155720476e-05,8,10
Violon,ant. delt.,0.00024662985722072106,8,2
Violon,ant. delt.,0.0001758174400228403,8,3
Violon,ant. delt.,0.0001926471612616632,8,4
Violon,ant. delt.,8.235546139948749e-05,8,5
Violon,ant. delt.,0.0001361224799989756,8,8
Violon,ant. delt.,5.495187250289663e-05,8,9
Violon,ant. delt.,1.0420056800065057e-05,8,10
Violon,mid. delt.,0.00021547661673086728,8,2
Violon,mid. delt.,0.00011797064567515826,8,3
Violon,mid. delt.,0.00016155432783381717,8,4
Violon,mid. delt.,0.000146997039058421,8,5
Violon,mid. delt.,0.00010432664742462557,8,8
Violon,mid. delt.,2.6695121129145018e-05,8,9
Violon,mid. delt.,1.2076357026967314e-05,8,10
Violon,post. delt.,0.00014212893168845535,8,2
Violon,post. delt.,8.738529853050872e-05,8,3
Violon,post. delt.,0.00012350697852576238,8,4
Violon,post. delt.,0.00021983519355175577,8,5
Violon,post. delt.,8.04134748595277e-05,8,8
Violon,post. delt.,4.399317039077977e-05,8,9
Violon,post. delt.,4.904821426370387e-05,8,10
Violon,supra.,0.000497531590990566,8,2
Violon,supra.,0.00041017734388567337,8,3
Violon,supra.,0.00044250059637863796,8,4
Violon,supra.,0.0003987502825188876,8,5
Violon,supra.,0.00043224693769534683,8,8
Violon,supra.,0.00038460953163664145,8,9
Violon,supra.,0.00028024082339303053,8,10
Violon,infra.,6.723559305380228e-07,8,2
Violon,infra.,6.669774606641663e-07,8,3
Violon,infra.,5.821738757289127e-07,8,4
Violon,infra.,3.699406214965953e-07,8,5
Violon,infra.,5.611828593732735e-07,8,8
Violon,infra.,7.60788554450446e-07,8,9
Violon,infra.,3.9682003899197003e-07,8,10
Violon,subscap.,0.00015733456873016872,8,2
Violon,subscap.,8.938732642302887e-05,8,3
Violon,subscap.,0.00018649803831292998,8,4
Violon,subscap.,5.659042922152936e-05,8,5
Violon,subscap.,6.035808207047514e-05,8,8
Violon,subscap.,2.4424119925223163e-05,8,9
Violon,subscap.,0.00020675834929711063,8,10
Violon,low. trap.,3.479593706749609e-05,9,2
Violon,low. trap.,2.507162335710342e-05,9,3
Violon,low. trap.,1.272552040351579e-05,9,4
Violon,low. trap.,3.327320345682836e-05,9,5
Violon,low. trap.,4.8220472674304336e-06,9,8
Violon,low. trap.,1.4259668610130537e-05,9,9
Violon,low. trap.,2.9274094340429713e-05,9,10
Violon,ant. delt.,0.0002451382398985539,9,2
Violon,ant. delt.,0.0002301811185801528,9,3
Violon,ant. delt.,0.00014029131984696688,9,4
Violon,ant. delt.,3.242774915165227e-05,9,5
Violon,ant. delt.,0.00010868015044931603,9,8
Violon,ant. delt.,5.9833351374844796e-05,9,9
Violon,ant. delt.,7.250284759946917e-06,9,10
Violon,mid. delt.,0.00015887418670201765,9,2
Violon,mid. delt.,0.00013524986348204524,9,3
Violon,mid. delt.,0.00013780640827214128,9,4
Violon,mid. delt.,0.00013708851645292318,9,5
Violon,mid. delt.,0.00012939209240872622,9,8
Violon,mid. delt.,6.320564576443248e-05,9,9
Violon,mid. delt.,1.9786541094016764e-05,9,10
Violon,post. delt.,8.93901499087387e-05,9,2
Violon,post. delt.,2.885434731665927e-05,9,3
Violon,post. delt.,3.4000412474659015e-05,9,4
Violon,post. delt.,0.00013049667337487197,9,5
Violon,post. delt.,6.516668853695124e-05,9,8
Violon,post. delt.,0.00010538891078600362,9,9
Violon,post. delt.,8.808913239498827e-05,9,10
Violon,supra.,0.00043468247243888785,9,2
Violon,supra.,0.0002515277369480761,9,3
Violon,supra.,0.000708791599234982,9,4
Violon,supra.,0.000341293238779297,9,5
Violon,supra.,0.0002844624450181832,9,8
Violon,supra.,0.0002704058177626415,9,9
Violon,supra.,9.954882547722884e-05,9,10
Violon,infra.,0.0003256486385385045,9,2
Violon,infra.,0.00024348503665196357,9,3
Violon,infra.,0.00027571600968871474,9,4
Violon,infra.,0.0001844183125461154,9,5
Violon,infra.,0.00014209364762065164,9,8
Violon,infra.,0.0001884080955233254,9,9
Violon,infra.,0.0003962535832747822,9,10
Violon,subscap.,2.0197807849259384e-05,9,2
Violon,subscap.,1.5109179947018871e-05,9,3
Violon,subscap.,2.250880431100031e-05,9,4
Violon,subscap.,2.2849404195146606e-05,9,5
Violon,subscap.,5.15741613561119e-05,9,8
Violon,subscap.,2.7379189561258793e-05,9,9
Violon,subscap.,0.00040771545197717564,9,10
Landry2016,upp. trap.,0.162145795364795,0,2
Landry2016,upp. trap.,0.14791187311769494,0,3
Landry2016,upp. trap.,0.17109843237129096,0,4
