dataset,participant,muscle,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Landry2012,10,ant. delt.,0.18646603665693257,0.07910971390772073,0.27604516995734624,0.31697591056616914,0.20724147004910165,0.03567763780155095,0.029375894622082187,0.4095146343416368,,,,,,,,
Landry2012,10,lat. dors.,0.018231330128070627,0.024855340661906034,0.03155270919461879,0.0392215481704755,0.02264477574043673,0.18434625106394653,0.11510072555431597,0.014829399471073878,,,,,,,,
Landry2012,10,low. trap.,0.21690897598592618,0.2828198194154239,0.2776830335475773,0.20385590774257115,0.15358543810793063,0.061010225750847386,0.06277341641847795,0.1133541858862102,,,,,,,,
Landry2012,10,mid. delt.,0.21448458815592325,0.21682173395357482,0.228939010313181,0.3135708604628052,0.2943897300929824,0.3068181587205544,0.2143206523901435,0.29603707975782867,,,,,,,,
Landry2012,10,mid. trap.,0.3456875898668764,0.3565539002112378,0.32544594660189485,0.38425200183264535,0.3281053961210047,0.20075245431676975,0.16682570362298407,0.1577089809156081,,,,,,,,
Landry2012,10,pec. maj.,0.0666060568485117,0.008092818688825259,0.02509013117669496,0.8178665432636306,0.017435843237893045,0.038066114345380195,0.03489874960872309,0.12513791759264487,,,,,,,,
Landry2012,10,post. delt.,0.20871201846567283,0.2978883792598037,0.1821436928564398,0.22532266416905744,0.30513622951407715,0.39431585409547126,0.38050752163913193,0.03286815743858264,,,,,,,,
Landry2012,10,upp. trap.,0.6850258107281201,0.5127826708697689,0.47598522254199926,0.4568126791477961,0.420245795312743,0.06486375325763355,0.022307909661309952,0.381582336156318,,,,,,,,
Landry2012,11,ant. delt.,0.18992822978195212,0.14882957794241702,0.2928419732900477,0.2717760894475188,0.19353015372081117,0.05918357164207157,0.09142791125474034,0.2722308642040184,,,,,,,,
Landry2012,11,lat. dors.,0.05932791225731271,0.07528591568282968,0.024539152271453316,0.053834125945952514,0.04256515082910963,0.34318979885080914,0.1515077522486724,0.06363173806935689,,,,,,,,
Landry2012,11,low. trap.,0.4396241276113932,0.38967986251501496,0.4782987887573108,0.3571613985108405,0.34692002461885635,0.2020283332500638,0.16185373607857437,0.27358138123092035,,,,,,,,
Landry2012,11,mid. delt.,0.33603747247521193,0.3117943026522074,0.37216606190794366,0.37854267862667335,0.31658059987892845,0.3000632661948195,0.02100101122934292,0.09606036482863617,,,,,,,,
Landry2012,11,mid. trap.,0.5838183170421359,0.5096333324429428,0.44661246254016745,0.4669938612908917,0.5319737530377839,0.5543358375319081,0.2903909312771991,0.13610142786450652,,,,,,,,
